步骤	当前栈	输入串	动作	状态栈	ACTION	GOTO	
187	...... statement else { statement int	ID = ID * ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I8	s8		
188	...... statement else { statement type_specifier	ID = ID * ID ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22	r39	I22	
189	...... else { statement type_specifier ID	= ID * ID ; ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13	s13		
190	...... { statement type_specifier ID =	ID * ID ; return ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18	s18		
191	...... statement type_specifier ID = ID	* ID ; return ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I42	s42		
192	...... statement type_specifier ID = primary_expression	* ID ; return ID ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47	r4	I47	
193	...... type_specifier ID = primary_expression *	ID ; return ID ; ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I99	s99		
194	...... type_specifier ID = primary_expression operator	ID ; return ID ; ......	reduce(operator->* ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I96	r9	I96	
195	...... ID = primary_expression operator ID	; return ID ; } ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I96 I42	s42		
196	...... ID = primary_expression operator primary_expression	; return ID ; } ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I96 I128	r4	I128	
197	...... = primary_expression operator primary_expression arithmetic_expression	; return ID ; } ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I96 I128 I154	r17	I154	
198	...... type_specifier ID = primary_expression arithmetic_expression	; return ID ; } ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I47 I89	r16	I89	
199	...... statement type_specifier ID = constant_expression	; return ID ; } ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I43	r18	I43	
200	...... statement type_specifier ID = expression	; return ID ; } ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I18 I48	r31	I48	
201	...... { statement type_specifier ID declaration_assign	; return ID ; } ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I13 I19	r41	I19	
202	...... else { statement type_specifier declaration_init	; return ID ; } ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I52	r43	I52	
203	...... { statement type_specifier declaration_init declaration_init_list	; return ID ; } ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I52 I101	r45	I101	
204	...... statement type_specifier declaration_init declaration_init_list ;	return ID ; } } ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I22 I52 I101 I129	s129		
205	...... statement else { statement declaration	return ID ; } } ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I32	r46	I32	
206	...... statement else { statement statement	return ID ; } } ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40	r59	I40	
207	...... else { statement statement return	ID ; } } function ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39	s39		
208	...... { statement statement return ID	; } } function int ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I70	s70		
209	...... { statement statement return primary_expression	; } } function int ......	reduce(primary_expression->ID ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I76	r4	I76	
210	...... statement statement return primary_expression arithmetic_expression	; } } function int ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I76 I117	r17	I117	
211	...... { statement statement return constant_expression	; } } function int ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I71	r18	I71	
212	...... { statement statement return expression	; } } function int ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I72	r31	I72	
213	...... statement statement return expression ;	} } function int ID ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I39 I72 I114	s114		
214	...... else { statement statement jump_statement	} } function int ID ......	reduce(jump_statement->return expression ; ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I37	r65	I37	
215	...... else { statement statement statement	} } function int ID ......	reduce(statement->jump_statement ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I40	r55	I40	
216	...... { statement statement statement statement_list	} } function int ID ......	reduce(statement_list->$ ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I40 I78	r61	I78	
217	...... else { statement statement statement_list	} } function int ID ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I40 I78	r60	I78	
218	...... statement else { statement statement_list	} } function int ID ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I40 I78	r60	I78	
219	...... ) statement else { statement_list	} } function int ID ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I56	r60	I56	
220	...... statement else { statement_list }	} function int ID ( ......	shift	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I28 I56 I103	s103		
221	...... expression ) statement else compound_statement	} function int ID ( ......	reduce(compound_statement->{ statement_list } ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I31	r69	I31	
222	...... expression ) statement else statement	} function int ID ( ......	reduce(statement->compound_statement ,['#'])	I0 I2 I2 I10 I15 I23 I53 I102 I130 I166 I193 I210	r58	I210	
223	...... external_declaration external_declaration function_definition { selection_statement	} function int ID ( ......	reduce(selection_statement->if ( expression ) statement else statement ,['#'])	I0 I2 I2 I10 I15 I36	r66	I36	
224	...... external_declaration external_declaration function_definition { statement	} function int ID ( ......	reduce(statement->selection_statement ,['#'])	I0 I2 I2 I10 I15 I40	r56	I40	
225	...... external_declaration function_definition { statement statement_list	} function int ID ( ......	reduce(statement_list->$ ,['#'])	I0 I2 I2 I10 I15 I40 I78	r61	I78	
226	...... external_declaration external_declaration function_definition { statement_list	} function int ID ( ......	reduce(statement_list->statement statement_list ,['#'])	I0 I2 I2 I10 I15 I35	r60	I35	
227	...... external_declaration function_definition { statement_list }	function int ID ( ) ......	shift	I0 I2 I2 I10 I15 I35 I67	s67		
228	# external_declaration external_declaration function_definition compound_statement	function int ID ( ) ......	reduce(compound_statement->{ statement_list } ,['#'])	I0 I2 I2 I10 I16	r69	I16	
229	# external_declaration external_declaration function_implement	function int ID ( ) ......	reduce(function_implement->function_definition compound_statement ,['#'])	I0 I2 I2 I3	r53	I3	
230	# external_declaration external_declaration external_declaration	function int ID ( ) ......	reduce(external_declaration->function_implement ,['#'])	I0 I2 I2 I2	r70	I2	
231	# external_declaration external_declaration external_declaration function	int ID ( ) { ......	shift	I0 I2 I2 I2 I11	s11		
232	...... external_declaration external_declaration external_declaration function int	ID ( ) { int ......	shift	I0 I2 I2 I2 I11 I8	s8		
233	...... external_declaration external_declaration external_declaration function type_specifier	ID ( ) { int ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I11 I17	r39	I17	
234	...... external_declaration external_declaration function type_specifier ID	( ) { int ID ......	shift	I0 I2 I2 I2 I11 I17 I41	s41		
235	...... external_declaration function type_specifier ID (	) { int ID , ......	shift	I0 I2 I2 I2 I11 I17 I41 I79	s79		
236	...... function type_specifier ID ( function_declaration_list	) { int ID , ......	reduce(function_declaration_list->$ ,['#'])	I0 I2 I2 I2 I11 I17 I41 I79 I121	r51	I121	
237	...... type_specifier ID ( function_declaration_list )	{ int ID , ID ......	shift	I0 I2 I2 I2 I11 I17 I41 I79 I121 I141	s141		
238	# external_declaration external_declaration external_declaration function_definition	{ int ID , ID ......	reduce(function_definition->function type_specifier ID ( function_declaration_list ) ,['#'])	I0 I2 I2 I2 I10	r52	I10	
239	...... external_declaration external_declaration external_declaration function_definition {	int ID , ID ; ......	shift	I0 I2 I2 I2 I10 I15	s15		
240	...... external_declaration external_declaration function_definition { int	ID , ID ; ID ......	shift	I0 I2 I2 I2 I10 I15 I8	s8		
241	...... external_declaration external_declaration function_definition { type_specifier	ID , ID ; ID ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I22	r39	I22	
242	...... external_declaration function_definition { type_specifier ID	, ID ; ID = ......	shift	I0 I2 I2 I2 I10 I15 I22 I13	s13		
243	...... function_definition { type_specifier ID declaration_assign	, ID ; ID = ......	reduce(declaration_assign->$ ,['#'])	I0 I2 I2 I2 I10 I15 I22 I13 I19	r42	I19	
244	...... external_declaration function_definition { type_specifier declaration_init	, ID ; ID = ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I22 I52	r43	I52	
245	...... function_definition { type_specifier declaration_init ,	ID ; ID = function ......	shift	I0 I2 I2 I2 I10 I15 I22 I52 I21	s21		
246	...... { type_specifier declaration_init , ID	; ID = function ID ......	shift	I0 I2 I2 I2 I10 I15 I22 I52 I21 I13	s13		
247	...... type_specifier declaration_init , ID declaration_assign	; ID = function ID ......	reduce(declaration_assign->$ ,['#'])	I0 I2 I2 I2 I10 I15 I22 I52 I21 I13 I19	r42	I19	
248	...... { type_specifier declaration_init , declaration_init	; ID = function ID ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I22 I52 I21 I51	r43	I51	
249	...... type_specifier declaration_init , declaration_init declaration_init_list	; ID = function ID ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I22 I52 I21 I51 I100	r45	I100	
250	...... function_definition { type_specifier declaration_init declaration_init_list	; ID = function ID ......	reduce(declaration_init_list->, declaration_init declaration_init_list ,['#'])	I0 I2 I2 I2 I10 I15 I22 I52 I101	r44	I101	
251	...... { type_specifier declaration_init declaration_init_list ;	ID = function ID ( ......	shift	I0 I2 I2 I2 I10 I15 I22 I52 I101 I129	s129		
252	...... external_declaration external_declaration function_definition { declaration	ID = function ID ( ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I32	r46	I32	
253	...... external_declaration external_declaration function_definition { statement	ID = function ID ( ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I2 I10 I15 I40	r59	I40	
254	...... external_declaration function_definition { statement ID	= function ID ( number ......	shift	I0 I2 I2 I2 I10 I15 I40 I34	s34		
255	...... function_definition { statement ID =	function ID ( number ) ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I66	s66		
256	...... function_definition { statement ID assignment_operator	function ID ( number ) ......	reduce(assignment_operator->= ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63	r19	I63	
257	...... { statement ID assignment_operator function	ID ( number ) ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45	s45		
258	...... statement ID assignment_operator function ID	( number ) ; int ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80	s80		
259	...... ID assignment_operator function ID (	number ) ; int ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122	s122		
260	...... assignment_operator function ID ( number	) ; int ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I149	s149		
261	...... assignment_operator function ID ( primary_expression	) ; int ID = ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I148	r5	I148	
262	...... function ID ( primary_expression arithmetic_expression	) ; int ID = ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I148 I180	r17	I180	
263	...... assignment_operator function ID ( constant_expression	) ; int ID = ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I143	r18	I143	
264	...... assignment_operator function ID ( expression	) ; int ID = ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I150	r31	I150	
265	...... function ID ( expression expression_profix	) ; int ID = ......	reduce(expression_profix->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I150 I182	r34	I182	
266	...... assignment_operator function ID ( expression_list	) ; int ID = ......	reduce(expression_list->expression expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I145	r35	I145	
267	...... function ID ( expression_list )	; int ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I34 I63 I45 I80 I122 I145 I178	s178		
268	...... { statement ID assignment_operator function_expression	; int ID = number ......	reduce(function_expression->function ID ( expression_list ) ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I44	r30	I44	
269	...... { statement ID assignment_operator expression	; int ID = number ......	reduce(expression->function_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I34 I63 I110	r32	I110	
270	...... external_declaration function_definition { statement assignment_expression	; int ID = number ......	reduce(assignment_expression->ID assignment_operator expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I38	r25	I38	
271	...... function_definition { statement assignment_expression assignment_expression_profix	; int ID = number ......	reduce(assignment_expression_profix->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I38 I68	r27	I68	
272	...... external_declaration function_definition { statement assignment_expression_list	; int ID = number ......	reduce(assignment_expression_list->assignment_expression assignment_expression_profix ,['#'])	I0 I2 I2 I2 I10 I15 I40 I26	r28	I26	
273	...... function_definition { statement assignment_expression_list ;	int ID = number , ......	shift	I0 I2 I2 I2 I10 I15 I40 I26 I55	s55		
274	...... external_declaration function_definition { statement expression_statement	int ID = number , ......	reduce(expression_statement->assignment_expression_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I24	r62	I24	
275	...... external_declaration function_definition { statement statement	int ID = number , ......	reduce(statement->expression_statement ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40	r54	I40	
276	...... function_definition { statement statement int	ID = number , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I8	s8		
277	...... function_definition { statement statement type_specifier	ID = number , ID ......	reduce(type_specifier->int ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22	r39	I22	
278	...... { statement statement type_specifier ID	= number , ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13	s13		
279	...... statement statement type_specifier ID =	number , ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18	s18		
280	...... statement type_specifier ID = number	, ID = number , ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18 I49	s49		
281	...... statement type_specifier ID = primary_expression	, ID = number , ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18 I47	r5	I47	
282	...... type_specifier ID = primary_expression arithmetic_expression	, ID = number , ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18 I47 I89	r17	I89	
283	...... statement type_specifier ID = constant_expression	, ID = number , ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18 I43	r18	I43	
284	...... statement type_specifier ID = expression	, ID = number , ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I18 I48	r31	I48	
285	...... statement statement type_specifier ID declaration_assign	, ID = number , ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I13 I19	r41	I19	
286	...... { statement statement type_specifier declaration_init	, ID = number , ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52	r43	I52	
287	...... statement statement type_specifier declaration_init ,	ID = number , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21	s21		
288	...... statement type_specifier declaration_init , ID	= number , ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13	s13		
289	...... type_specifier declaration_init , ID =	number , ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18	s18		
290	...... declaration_init , ID = number	, ID = number , ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18 I49	s49		
291	...... declaration_init , ID = primary_expression	, ID = number , ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18 I47	r5	I47	
292	...... , ID = primary_expression arithmetic_expression	, ID = number , ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18 I47 I89	r17	I89	
293	...... declaration_init , ID = constant_expression	, ID = number , ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18 I43	r18	I43	
294	...... declaration_init , ID = expression	, ID = number , ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I18 I48	r31	I48	
295	...... type_specifier declaration_init , ID declaration_assign	, ID = number , ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I13 I19	r41	I19	
296	...... statement type_specifier declaration_init , declaration_init	, ID = number , ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51	r43	I51	
297	...... type_specifier declaration_init , declaration_init ,	ID = number , ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21	s21		
298	...... declaration_init , declaration_init , ID	= number , ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13	s13		
299	...... , declaration_init , ID =	number , ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18	s18		
300	...... declaration_init , ID = number	, ID = number * ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18 I49	s49		
301	...... declaration_init , ID = primary_expression	, ID = number * ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18 I47	r5	I47	
302	...... , ID = primary_expression arithmetic_expression	, ID = number * ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18 I47 I89	r17	I89	
303	...... declaration_init , ID = constant_expression	, ID = number * ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18 I43	r18	I43	
304	...... declaration_init , ID = expression	, ID = number * ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I18 I48	r31	I48	
305	...... , declaration_init , ID declaration_assign	, ID = number * ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I13 I19	r41	I19	
306	...... declaration_init , declaration_init , declaration_init	, ID = number * ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51	r43	I51	
307	...... , declaration_init , declaration_init ,	ID = number * number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21	s21		
308	...... declaration_init , declaration_init , ID	= number * number + ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13	s13		
309	...... , declaration_init , ID =	number * number + number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18	s18		
310	...... declaration_init , ID = number	* number + number - ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I49	s49		
311	...... declaration_init , ID = primary_expression	* number + number - ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47	r5	I47	
312	...... , ID = primary_expression *	number + number - number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I99	s99		
313	...... , ID = primary_expression operator	number + number - number ......	reduce(operator->* ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96	r9	I96	
314	...... ID = primary_expression operator number	+ number - number ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I49	s49		
315	...... ID = primary_expression operator primary_expression	+ number - number ; ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128	r5	I128	
316	...... = primary_expression operator primary_expression +	number - number ; int ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I93	s93		
317	...... = primary_expression operator primary_expression operator	number - number ; int ......	reduce(operator->+ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96	r7	I96	
318	...... primary_expression operator primary_expression operator number	- number ; int ID ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I49	s49		
319	...... primary_expression operator primary_expression operator primary_expression	- number ; int ID ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128	r5	I128	
320	...... operator primary_expression operator primary_expression -	number ; int ID = ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I91	s91		
321	...... operator primary_expression operator primary_expression operator	number ; int ID = ......	reduce(operator->- ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I96	r8	I96	
322	...... primary_expression operator primary_expression operator number	; int ID = number ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I96 I49	s49		
323	...... primary_expression operator primary_expression operator primary_expression	; int ID = number ......	reduce(primary_expression->number ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I96 I128	r5	I128	
324	...... operator primary_expression operator primary_expression arithmetic_expression	; int ID = number ......	reduce(arithmetic_expression->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I96 I128 I154	r17	I154	
325	...... operator primary_expression operator primary_expression arithmetic_expression	; int ID = number ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I96 I128 I154	r16	I154	
326	...... = primary_expression operator primary_expression arithmetic_expression	; int ID = number ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I96 I128 I154	r16	I154	
327	...... , ID = primary_expression arithmetic_expression	; int ID = number ......	reduce(arithmetic_expression->operator primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I47 I89	r16	I89	
328	...... declaration_init , ID = constant_expression	; int ID = number ......	reduce(constant_expression->primary_expression arithmetic_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I43	r18	I43	
329	...... declaration_init , ID = expression	; int ID = number ......	reduce(expression->constant_expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I18 I48	r31	I48	
330	...... , declaration_init , ID declaration_assign	; int ID = number ......	reduce(declaration_assign->= expression ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I13 I19	r41	I19	
331	...... declaration_init , declaration_init , declaration_init	; int ID = number ......	reduce(declaration_init->ID declaration_assign ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I51	r43	I51	
332	...... , declaration_init , declaration_init declaration_init_list	; int ID = number ......	reduce(declaration_init_list->$ ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I21 I51 I100	r45	I100	
333	...... , declaration_init , declaration_init declaration_init_list	; int ID = number ......	reduce(declaration_init_list->, declaration_init declaration_init_list ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I21 I51 I100	r44	I100	
334	...... type_specifier declaration_init , declaration_init declaration_init_list	; int ID = number ......	reduce(declaration_init_list->, declaration_init declaration_init_list ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I21 I51 I100	r44	I100	
335	...... statement statement type_specifier declaration_init declaration_init_list	; int ID = number ......	reduce(declaration_init_list->, declaration_init declaration_init_list ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I101	r44	I101	
336	...... statement type_specifier declaration_init declaration_init_list ;	int ID = number ; ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I22 I52 I101 I129	s129		
337	...... function_definition { statement statement declaration	int ID = number ; ......	reduce(declaration->type_specifier declaration_init declaration_init_list ; ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I32	r46	I32	
338	...... function_definition { statement statement statement	int ID = number ; ......	reduce(statement->declaration ,['#'])	I0 I2 I2 I2 I10 I15 I40 I40 I40	r59	I40	
339	...... { statement statement statement int	ID = number ; for ......	shift	I0 I2 I2 I2 I10 I15 I40 I40 I40 I8	s8		
